"x"
"6/10
Beautiful film, but so preachy
LoveofLegacy21 July 2023
Margot does the best with what she's given, but this film was very disappointing to me. It was marketed as a fun, quirky satire with homages to other movies. It started that way, but ended with over-dramatized speeches and an ending that clearly tried to make the audience feel something, but left everyone just feeling confused. And before you say I'm a crotchety old man, I'm a woman in my 20s, so I'm pretty sure I'm this movie's target audience. The saddest part is there were parents with their kids in the theater that were victims of the poor marketing, because this is not a kid's movie. Overall, the humor was fun on occasion and the film is beautiful to look at, but the whole concept falls apart in the second half of the film and becomes a pity party for the ""strong"" woman.
1,190 out of 1,646 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"6/10
Clever and fun beginning turns into another lecture in the patriarchy
Binkconn21 July 2023
Barbie begins in an irresistible way, as a fun dismantling of all the plasticized and body image ideals the doll has set for little girls throughout the decades, as Barbie faces an existential crisis and must journey into the real world to find her true self. Then about halfway through America Ferrera shows up as a dissatisfied Barbie designer and starts hammering us about the patriarchy, as if all men were clueless, macho oafs like Ken that needed to be smugly tolerated by the greater hierarchy of women. Gerwig seems to be projecting her issues about Hollywood and it makes Barbie out of touch.
804 out of 1,173 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"8/10
It was depressing
coxaneesa24 July 2023
Warning: Spoilers
152 out of 242 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"9/10
A Technicolor Dream
heatherhilgers24 July 2023
Wow, this movie was a love letter to cinema. From the Kubrick reference at the opening, to the soundstage being 100% real - no cgi for the sets. There were dance sequences like in the olden days (think Grease) and the costuming , wow the costuming. Greta Gerwig dug deep to make this masterpiece using all of her technical chops along the way. The casting director also nailed it, everyone was wonderful.

The acting was perfection, I loved seeing the variety of Barbie's on screen and there were so many jokes that would be appropriate for all audiences, this has to be a voluntary PG13 rating as there wasn't swearing or nudity. There was one beach fight amongst the Kens but that's not really violence compared to today's average films, no one was harmed nor any fake blood used.

I actually didn't like the ending at all, and I was quite annoyed that Rhea Perlman played the creator of Barbie but made two quips about the IRS getting her for tax evasion - something Ruth Handler never dealt with. Her problem was with the SEC after she had signed off on a positive Mattel earnings forecast when they knew they were in a down quarter - how's that so tough to explain?

Irregardless, I want to see this movie again. And again. And again.
20 out of 26 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"7/10
3 reasons FOR seeing it and 1 reason AGAINST.
imseeg22 July 2023
Warning: Spoilers
301 out of 477 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"8/10
Barbie Is A Weirdly Fun Movie!
HabibieHakim12319 July 2023
8.5/10 While i'm not so sure at first, the movie kept getting even more fun, entertaining, and definitely better, also surprisingly deal with a legit serious stuff, Barbie is a weirdly fun movie that fills with this very interesting concept, definitely the first time that's ever done, Greta Gerwig has created this whole new style of filmmaking specifically for Barbie, from the intentionally weird yet creative editing, some awkward and cringe scene, i found the comedy so funny instead of cringe, Barbie is one of the most original movie of the year and also one of the most original movie i've seen in a while, we all know Margot Robbie and Ryan Gosling is gonna carry the movie and they are, but Will Ferrell, Simu Liu, and the whole rest of the cast were also great and entertaining, the soundtrack was just great, except Nicki Minaj and Ice Spice ""Barbie World"" song that are just absolutely terrible, but Billie Eilish ""What Was I Made For?"" tune that kept haunting in the background until it finally get the perfect scene to played it was really the best thing because that song was just beautiful and emotional, anyway, Barbie is a lot of fun, while there is still some noticeable flawed, most of them i found it funny, entertaining, colourful, creative, and fun, pure fun, it's something that i probably will love it even more the second time i see it, but as of right now, Barbie was a good time, definitely recommended and with this movie somehow it's actually possible to have a live-action Barbie movie, all you need to have is a good writer, good director, and good cast, and they delivers mostly.
535 out of 1,231 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"6/10
Too heavy handed
Natcat8722 July 2023
Warning: Spoilers
300 out of 404 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"8/10
Fun and surprisingly touching
jpismyname19 July 2023
I was honestly doubting this movie at first, but surprisingly I find myself really liking it quite a lot.

Set in the colorful Barbie Land, stereotypical Barbie lives a perfect life every single day. One day, she shows signs of being...a human. She decides to go to the Real World to find the cure in order to make herself perfect again.

Barbie is a fun movie that has surprisingly plenty of heartwarming moments and good messages to offer. The set designs are eye-catching and on point as well. Both Margot Robbie and Ryan Gosling nailed their parts, but it is Gosling who mostly shines.

Something I'm pretty sure of is this movie getting nominated for the Oscars, most likely for Best Production Design, Best Costume Design, and probably Best Song for Billie Eilish. That song is beautiful and it's stuck in my head right now.
416 out of 965 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"6/10
High Highs, Low Lows.
Lk199024 July 2023
The first thing you need to know about Barbie is that Ryan Gosling is the best part of the entire film. For the duration he is over the top, dumb and hilarious. Every scene he was in had me laughing and I enjoyed just about everything he did in the film.

Margot Robbie is a great choice for Barbie and as usual puts in a fantastic performance. She hit pretty much every mark in my opinion and I can't see anyone taking her place in this role.

Where the film falls flat unfortunately is not the characters, actors or even humour for that matter. It's the incessant political lecturing.

It's no surprise that this film takes a strong feminist angle. That's to expected. Barbie was a doll that portrayed many different professions in an attempt to show young girls that they could strive for me than what they were told they could do. But that was the 1950s. This is 2023.

By no means is the world a perfect representation of equality today, but it is so vastly superior in that category than it ever has been that the theme of the film falls a little flat. Telling young girls to go after their dreams and not be beholden to any stereotypes is a positive, wonderful message and one that could've been portrayed so much better. But instead, the film teeters on the edge of a radical feminist position.

I've seen a lot of people say the film hates men. I disagree with this. I don't think it hates men. Instead, it takes a very simplistic, black and white view of Western culture and assumes that women's lives are overall difficult and men's lives are overall quite easy. When in reality, life is tough. For everyone. At least 99% of us. Claiming otherwise is unjust.

However, it's not just the political stance it takes that brings the film down. It's how incessant it is. They are without any shame pushing a political message through the screen down your throat every 10 minutes. It's unbearable at times. Going to the cinema or watching a film should be an enjoyable experience, not a lecture.

This film could've been beloved by all genders and ages. Both men and women love Margot Robbie and Ryan Gosling. This feels like an easy lay up for the filmmakers but by going the political route they end up having many jokes go over kids heads and alienate many of the people who where genuinely excited to see this film.

I give it a 6/10 because of Gosling and most of the humour. It was enjoyable overall. I think Hollywood needs to stop employing multi millionaire actors to lecture the general public on how to live. It's embarrassing.
236 out of 339 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"8/10
Well this really did come as a surprise.
Sleepin_Dragon21 July 2023
It pains me to say it, but I enjoyed this movie so much more then I was expecting to, musical numbers, humour, there truly is something for the whole family yo enjoy.

Bright, garish and somewhat kitsch, those were my expectations, and sure it's a veritable cornucopia of glitter and rainbows, but what I wasn't expecting, was for the film to be so engaging, there's actually some real depth that I wasn't expecting. That opening introduction, that came as a major surprise, and pretty much set the tone.

Of course there are plenty of double entendres, laughs that adults will enjoy, kids will no doubt chuckle away too.

I'm pretty sure this film is going to win awards for its production, it's very well made, creative design and visuals, a lot of thought has gone into this. Greta Gerwig did a great job.

Margot Robbie is glorious as Barbie, Ryan Gosling was great I thought. The pair shared some terrific scenes, real chemistry, and plenty of cutting one liners.

Great use of music, everything fitted into the film so well.

8/10.
140 out of 324 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
